region,geo,TIME_PERIOD,substr_house_prices_wo_hicp,compound_interest
Hungary,HU,2022,216.36,11.66
Iceland,IS,2022,201.88,10.56
Czech Republic,CZ,2022,183.2,9.03
Portugal,PT,2022,177.14,8.51
Luxembourg,LU,2022,170.09,7.88
Netherlands,NL,2022,163.49,7.28
Lithuania,LT,2022,157.48,6.7
Slovenia,SI,2022,156.67,6.62
Lithuania,LV,2022,152.74,6.24
Ireland,IE,2022,151.99,6.16
Slovakia,SK,2022,150.42,6.01
Austria,AT,2022,149.98,5.96
Estonia,EE,2022,149.73,5.94
Bulgaria,BG,2022,146.4,5.6
Germany,DE,2022,144.2,5.37
Croatia,HR,2022,143.58,5.3
Poland,PL,2022,135.81,4.47
Malta,MT,2022,130.76,3.91
Spain,ES,2022,126.03,3.36
Denmark,DK,2022,123.5,3.06
Norway,NO,2022,121.21,2.79
Sweden,SE,2022,119.86,2.62
France,FR,2022,117.84,2.37
Romania,RO,2022,114.64,1.97
Belgium,BE,2022,110.92,1.49
Finland,FI,2022,98.01,-0.29
Cyprus,CY,2022,97.54,-0.36
Italy,IT,2022,92.7,-1.08
